SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NAEM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA_NAEM,PT_MORENA,PT_NAEM,MORENA_NAEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,% PRI
5261,4,177,369,13,130,53,44,519,29,21,45,18,12,15,0,0,5,0,0,0,1450,2,46,1498,2884,25%
5262,3,131,261,11,36,14,21,309,13,13,26,14,13,2,1,0,0,2,0,1,868,5,32,905,1732,29%
5263,4,231,367,13,55,18,28,439,21,18,22,15,14,12,1,0,1,6,0,1,1262,0,27,1289,2364,28%
5264,3,217,322,9,33,21,22,369,19,14,28,19,14,2,0,0,3,2,0,0,1094,0,24,1118,1829,29%
5265,3,217,312,8,50,21,30,404,19,8,17,4,16,2,0,0,0,2,0,3,1113,0,26,1139,1800,27%
5266,5,76,647,9,88,33,34,549,91,19,28,11,16,2,0,0,2,2,0,0,1607,0,42,1649,3569,39%
5267,5,31,349,11,38,12,12,254,34,14,23,6,3,4,0,0,1,4,0,0,796,1,34,831,3183,42%
5268,5,58,519,20,46,32,30,475,82,26,25,13,17,7,0,0,2,4,1,1,1358,0,65,1423,3154,36%
5269,7,93,813,26,89,39,47,794,112,29,39,20,21,6,0,0,9,6,0,1,2144,4,71,2219,4991,37%
5270,5,70,525,19,66,32,63,555,81,27,32,21,6,1,1,0,3,7,0,1,1510,2,46,1558,3552,34%
5271,12,369,1406,45,137,68,126,1474,191,51,118,39,33,6,2,1,10,5,0,2,4083,0,110,4193,8642,34%
5272,5,279,683,22,74,36,71,795,63,27,56,20,40,8,1,0,5,5,1,2,2188,6,57,2251,3435,30%
5273,3,93,303,10,31,15,19,477,45,16,14,10,4,1,1,0,0,1,0,0,1040,0,11,1051,1899,29%
5274,4,137,350,14,37,22,47,555,66,16,44,10,11,1,0,0,4,1,0,0,1315,0,44,1359,2377,26%
5275,3,123,281,9,52,18,25,425,48,27,24,10,6,2,1,0,2,1,0,2,1056,0,34,1090,1852,26%
5276,2,76,249,13,28,9,22,307,27,13,18,8,3,1,0,0,1,0,0,0,775,1,26,802,1497,31%
5277,3,167,313,18,38,28,47,446,25,26,20,9,8,1,0,0,2,2,0,1,1151,2,21,1174,2137,27%
5278,6,215,545,25,63,38,62,973,67,73,36,49,11,2,0,1,6,0,0,3,2169,3,61,2233,4235,24%
5279,2,60,255,10,19,16,30,303,12,21,20,19,9,1,0,0,0,3,0,1,779,0,29,808,1273,32%
5280,9,678,831,33,120,70,107,1216,63,36,71,41,31,8,7,1,2,5,0,5,3325,2,76,3403,6419,24%
5281,5,447,396,20,62,37,58,723,61,24,36,23,23,0,0,0,3,3,2,0,1918,2,38,1958,3555,20%
5282,2,62,189,33,18,7,22,283,23,10,13,9,1,4,0,0,0,2,0,0,676,0,18,694,1192,27%
5283,4,174,304,27,55,23,42,675,30,23,28,12,7,6,0,0,4,7,1,3,1421,3,30,1454,2518,21%
5284,3,279,342,8,19,21,27,365,12,9,14,11,15,3,0,0,1,3,0,1,1130,1,16,1147,1796,30%
5285,5,193,475,15,69,27,54,730,51,29,114,12,16,4,0,0,4,2,0,1,1796,0,54,1850,3663,26%
5286,4,107,366,13,34,30,27,734,78,16,71,38,9,2,0,1,2,6,0,1,1535,1,31,1567,2861,23%
5287,4,254,498,22,61,36,32,557,22,15,28,14,14,2,0,0,4,2,0,0,1561,2,27,1590,2405,31%
5288,3,199,237,2,35,16,22,329,19,6,34,14,17,2,0,0,1,4,0,0,937,0,16,953,1502,25%
5289,3,117,284,9,33,27,29,505,17,15,18,9,4,0,0,1,2,2,0,0,1072,0,23,1095,1834,26%
5290,2,107,174,7,31,22,23,372,21,10,22,14,5,1,0,1,0,3,0,1,814,1,20,835,1446,21%
5291,5,196,460,17,51,36,44,740,39,13,36,12,16,2,0,3,5,6,0,2,1678,0,41,1719,3085,27%
5292,5,227,485,20,70,39,44,803,32,32,40,28,18,6,0,0,4,6,0,2,1856,6,53,1915,3359,25%
5293,4,148,360,13,46,24,47,516,28,14,22,12,13,3,0,0,3,4,0,0,1253,1,39,1293,2280,28%
